Date,County,Rt_EpiNow
4/7/2021,Abbeville,1.098161633
4/8/2021,Abbeville,1.105542364
4/9/2021,Abbeville,1.107876832
4/10/2021,Abbeville,0.918947376
4/11/2021,Abbeville,0.742415582
4/12/2021,Abbeville,0.73711772
4/13/2021,Abbeville,0.729927631
4/14/2021,Abbeville,0.73352683
4/15/2021,Abbeville,0.744669108
4/16/2021,Abbeville,0.760100884
4/17/2021,Abbeville,0.782800247
4/18/2021,Abbeville,0.81444983
4/19/2021,Abbeville,0.847925157
4/20/2021,Abbeville,0.878174942
4/21/2021,Abbeville,0.88336081
4/22/2021,Abbeville,0.873159806
4/23/2021,Abbeville,0.866258283
4/24/2021,Abbeville,0.860124832
4/25/2021,Abbeville,0.852989295
4/26/2021,Abbeville,0.847018348
4/27/2021,Abbeville,0.840132499
4/28/2021,Abbeville,0.833696524
4/29/2021,Abbeville,0.830249332
4/30/2021,Abbeville,0.82874212
5/1/2021,Abbeville,0.82972244
5/2/2021,Abbeville,0.83410004
5/3/2021,Abbeville,0.840606292
5/4/2021,Abbeville,0.848395231
5/5/2021,Abbeville,0.857864639
5/6/2021,Abbeville,0.869416784
5/7/2021,Abbeville,0.882643623
5/8/2021,Abbeville,0.895011148
5/9/2021,Abbeville,0.907368783
5/10/2021,Abbeville,0.92079806
5/11/2021,Abbeville,0.93163685
5/12/2021,Abbeville,0.937265631
5/13/2021,Abbeville,0.939618864
5/14/2021,Abbeville,0.937843523
5/15/2021,Abbeville,0.930628488
5/16/2021,Abbeville,0.919128406
5/17/2021,Abbeville,0.908078608
5/18/2021,Abbeville,0.895460603
5/19/2021,Abbeville,0.881809781
5/20/2021,Abbeville,0.870050777
5/21/2021,Abbeville,0.857584508
5/22/2021,Abbeville,0.843777924
5/23/2021,Abbeville,0.83029368
5/24/2021,Abbeville,0.819216023
5/25/2021,Abbeville,0.811536633
5/26/2021,Abbeville,0.806279648
5/27/2021,Abbeville,0.801487009
5/28/2021,Abbeville,0.801282956
5/29/2021,Abbeville,0.802920892
5/30/2021,Abbeville,0.801928849
